causas,lon,lat,raca,genero,idade,data,endereco
Shooting,-76.599529,39.293969,Black,Male,35,2007-10-06,1400 May Court
Shooting,-76.595882,39.316205,Black,Male,20,2007-10-09,1600 Normal Ave.
NA,-76.675074,39.305989,Black,Male,21,2007-10-10,3400 Winterbourne Road
Shooting,-76.636015,39.288655,Black,Male,40,2007-10-11,1100 W. Baltimore St.
NA,-76.611542,39.308984,Black,Male,16,2007-10-13,1700 Latrobe St.
Shooting,-76.661051,39.33797,Black,Male,33,2007-10-14,2600 Quantico Ave.
Asphyxiation,-76.679507,39.310822,Black,Male,39,2007-10-15,2100 Allendale Road
Shooting,-76.665704,39.336123,Black,Male,47,2007-10-15,2800 Quantico Ave.
Shooting,-76.64667,39.310917,Black,Male,21,2007-10-18,1800 Walbrook Ave.
Shooting,-76.604934,39.229726,Black,Male,25,2007-10-19,4200 Audrey Ave.
Shooting,-76.6699,39.346019,Black,Male,19,2007-10-19,3100 Woodland Ave.
Shooting,-76.60073,39.235877,Black,Male,23,2007-10-25,700 E. Patapsco Ave.
Stabbing,-76.681171,39.293921,Black,Female,26,2007-10-26,600 Lyndhurst St.
Shooting,-76.532041,39.330744,Hispanic,Male,NA,2007-10-29,5900 Radecke Ave.
Shooting,-76.575498,39.359007,Black,Male,31,2007-10-30,5800 Edgepark Road
Shooting,-76.606439,39.316242,Black,Male,24,2007-10-30,700 Bartlett Ave.
Shooting,-76.610406,39.316268,Black,Male,31,2007-10-31,2400 Brentwood Ave.
Shooting,-76.668934,39.346571,Black,Male,18,2007-10-31,3000 Woodland Ave.
Shooting,-76.542301,39.278918,NA,Male,17,2007-11-02,1300 Ballard Way
Shooting,-76.577181,39.315886,NA,Male,24,2007-11-03,3300 Elmora Ave.
Shooting,-76.596298,39.301795,NA,Male,30,2007-11-04,1600 E. Eager St.
Shooting,-76.589386,39.342763,NA,Male,16,2007-11-05,1600 Lochwood Road
Shooting,-76.660419,39.336719,NA,Male,44,2007-11-08,2600 Oswego Ave.
Shooting,-76.581308,39.306427,Black,Male,22,2007-11-11,2600 Grogan Ave.
Shooting,-76.641318,39.307586,NA,Male,42,2007-11-12,700 Baker St.
Blunt Force,-76.649742,39.293735,NA,Male,39,2007-11-13,500 Brice St.
Shooting,-76.564472,39.328984,NA,Male,36,2007-11-13,4400 Belair Road
Shooting,-76.566968,39.37161,Black,Male,17,2007-11-15,7100 McClean Blvd.
Shooting,-76.665568,39.345841,Black,Male,31,2007-11-16,3000 Rosalind Ave.
Shooting,-76.703097,39.309773,Black,Male,22,2007-11-23,2100 Crimea Road
Unknown,-76.593124,39.315904,Black,Female,2,2007-11-23,1700 E. 25th St.
Shooting,-76.633736,39.287265,Black,Male,36,2007-11-23,1000 Boyd St.
Shooting,-76.655817,39.307629,Black,Male,33,2007-11-26,2400 Presbury St.
Blunt Force,-76.688842,39.348593,Black,Male,31,2007-11-28,4000 W. Rogers Ave.
Stabbing,-76.679404,39.343826,Black,Male,13,2007-11-29,5000 Cordelia Ave.
Shooting,-76.707511,39.310317,Black,Male,19,2007-12-02,N. Forest Park Ave. and Windsor Mill Road
Blunt Force,-76.663932,39.309263,Black,Male,58,2007-12-03,2800 W. North Ave.
Shooting,-76.542939,39.27802,Black,Male,24,2007-12-10,6100 Boston St.
Shooting,-76.681762,39.320131,Black,Male,24,2007-12-14,2900 Chelsea Terrace
Shooting,-76.616473,39.309822,Black,Male,20,2007-12-16,1800 N. Charles St.
Asphyxiation,-76.671049,39.310071,Black,Female,22,2007-12-18,3200 Walbrook Ave.
Shooting,-76.648137,39.261234,Black,Male,NA,2007-12-20,2300 Atlantic Ave.
Shooting,-76.638359,39.310254,Black,Male,25,2007-12-21,1300 North Ave.
Shooting,-76.649357,39.315715,NA,Male,36,2007-12-24,2400 Reisterstown Road
Shooting,-76.707924,39.354681,Black,Male,30,2007-12-24,6600 Vincent Lane
Shooting,-76.597588,39.309494,Black,Male,46,2007-12-26,1700 N. Dallas St.
Shooting,-76.59773,39.300384,Black,Male,25,2007-12-28,900 N. Caroline St.
Shooting,-76.670714,39.299724,Black,Male,20,2008-12-30,1200 N. Franklintown Road
Shooting,-76.634526,39.315371,Unknown,Male,28,2008-12-29,800 Chauncey Ave.
Shooting,-76.661535,39.294724,Unknown,Male,39,2008-12-28,2700 Edmondson Ave.
Shooting,-76.592014,39.313242,Unknown,Female,42,2008-12-26,2000 N. Wolfe St.
Shooting,-76.632332,39.295219,Unknown,Male,30,2008-12-25,900 Bennett Place
Shooting,-76.570734,39.283088,Unknown,Female,22,2008-12-23,800 S. Bouldin st.
Shooting,-76.595341,39.30968,Unknown,Male,46,2008-12-23,1700 Broadway
Shooting,-76.59903,39.323333,Unknown,Male,19,2008-12-19,1400 Homestead St.
Shooting,-76.67384,39.349183,Unknown,Male,24,2008-12-16,5100 Palmer Ave.
Shooting,-76.6897,39.345234,Unknown,Male,41,2008-12-15,5400 Fairlawn Ave.
Shooting,-76.579635,39.303988,Unknown,Male,21,2008-12-15,2700 E. Chase St
Shooting,-76.5977448,39.2304574,Unknown,Male,44,2008-12-11,1000 Jack Place
Shooting,-76.574646,39.2953204,Unknown,Male,37,2008-12-10,3000 Puaski Highway
Shooting,-76.6303754,39.2972062,Black,Male,14,2008-12-07,1100 Myrtle Ave.
Shooting,-76.67503,39.346723,Unknown,Male,24,2008-12-06,5000 Denmore Ave
Shooting,-76.620187,39.297468,White,Male,28,2008-12-06,700 N. Howard St.
Shooting,-76.5989334,39.3186767,Unknown,Male,37,2008-12-05,2500 Garrett Ave.
Shooting,-76.657924,39.326087,Unknown,Male,19,2008-12-02,3400 Park Heights Ave.
Shooting,-76.590593,39.311171,Unknown,Male,19,2008-12-01,1800 N. Washington St.
Shooting,-76.570394,39.289572,Unknown,Male,18,2008-12-01,200 S. Clinton St.
Shooting,-76.685223,39.336073,Unknown,Male,26,2008-11-30,4000 Oakford Ave. 
Shooting,-76.685223,39.336073,Unknown,Male,45,2008-11-30,4000 Oakford Ave. 
Shooting,-76.685223,39.336073,Unknown,Male,14,2008-11-30,4000 Oakford Ave. 
Shooting,-76.5673731,39.3297444,Unknown,Female,41,2008-11-30,4000 Parkside Drive
Shooting,-76.5876865,39.318218,Unknown,Male,17,2008-11-27,2800 St. Lo Drive
Shooting,-76.60095,39.370615,Black,Male,29,2008-11-26,1000 Woodson Road
Shooting,-76.6087911,39.3238626,Black,Male,26,2008-11-25,2900 Limond Place
Shooting,-76.611439,39.315606,Unknown,Male,24,2008-11-24,2300 Barclay St.
Shooting,-76.7011664,39.3116963,Unknown,Male,22,2008-11-23,2200 Tucker Lane
Shooting,-76.6173777,39.2779538,Unknown,Male,49,2008-11-23,1000 Leadenhall St.
Shooting,-76.600128,39.312067,Unknown,Male,39,2008-11-23,1300 W. North Ave.
Shooting,-76.7102679,39.3549479,Unknown,Male,39,2008-11-22,6600 Eberle Drive
Stabbing,-76.6001148,39.3118882,Black,Female,29,2008-11-21,1300 E. North Ave.
Stabbing,-76.6644465,39.3148174,Black,Male,15,2008-11-21,2800 N. Dukeland St.
Shooting,-76.6640557,39.3103257,Unknown,Male,45,2008-11-18,2000 N. Dukeland St.
Shooting,-76.6043828,39.2391968,Unknown,Male,14,2008-11-18,3500 4th St.
Shooting,-76.6028022,39.3012432,Unknown,Male,21,2008-11-18,1100 Abbott Court
Blunt Force,-76.639468,39.283225,Unknown,Male,53,2008-11-18,400 S. Calhoun St.
Shooting,-76.651279,39.281815,Unknown,Male,30,2008-11-17,500 S. Smallwood St
Shooting,-76.670855,39.346214,Unknown,Male,48,2008-11-16,4800 Palmer Ave
Blunt Force,-76.555084,39.353769,Black,Female,69,2008-11-12,3115 Mary Ave.
Shooting,-76.6019847,39.3146711,Unknown,Male,22,2008-11-12,2200 Robb St.
Shooting,-76.634453,39.312385,Unknown,Male,30,2008-11-10,2200 Linden Ave.
Shooting,-76.6362072,39.3033544,Unknown,Male,45,2008-11-07,600 Sewell St.
Blunt Force,-76.609689,39.288587,Black,Female,27,2008-11-07,100 Custom House Ave
